ID	Name	Place	Once	Story	Auto	Begin	Duration	Interval	Desc	EndDesc	Hide	Flag
	名字	对应地点 多个用|隔开 获取时随机	只触发一次	对应的故事	自动触发	开始时间 天	持续时间 天	间隔 从触发开始算	描述	结束描述	隐藏触发 默认为0	
100001	疑现九字秘	Place_DanXia|Place_KunLun|Place_TianJi|Place_JiuHua|Place_LongHu|Place_Shu|Place_WuLian|Place_BaiMan|Place_XianKong|Place_Hei|Place_HeHuan|Place_SouthForest|Place_FertileField|Place_CentralPlains|Place_Hei4|Place_HeHuan1|Place_FertileField1|Place_FertileField2|Place_FertileField3|Place_FertileField4|Place_FertileField5|Place_CentralPlains1|Place_CentralPlains2|Place_CentralPlains3|Place_CentralPlains4|Place_CentralPlains5|Place_BirthPlace11|Place_BirthPlace12|Place_BirthPlace13|Place_BirthPlace14|Place_Desert|Place_Desert2|Place_Desert4|Place_Snowfield|Place_Snowfield3	3	ZT_JZM_L	1	77	3	45	听说九字真言在[TXT]出现了踪迹，临兵斗者，皆阵列前行。不知是哪一本秘籍的出现。	一名神秘修行者气运所钟，最终得到了出现的九字秘。		
100002	疑现九字秘	Place_DanXia|Place_KunLun|Place_TianJi|Place_JiuHua|Place_LongHu|Place_Shu|Place_WuLian|Place_BaiMan|Place_XianKong|Place_Hei|Place_HeHuan|Place_SouthForest|Place_FertileField|Place_CentralPlains|Place_Hei4|Place_HeHuan1|Place_FertileField1|Place_FertileField2|Place_FertileField3|Place_FertileField4|Place_FertileField5|Place_CentralPlains1|Place_CentralPlains2|Place_CentralPlains3|Place_CentralPlains4|Place_CentralPlains5|Place_BirthPlace11|Place_BirthPlace12|Place_BirthPlace13|Place_BirthPlace14|Place_Desert|Place_Desert2|Place_Desert4|Place_Snowfield|Place_Snowfield3	3	ZT_JZM_Z	1	88	3	42	听说九字真言在[TXT]出现了踪迹，临兵斗者，皆阵列前行。不知是哪一本秘籍的出现。	一名神秘修行者气运所钟，最终得到了出现的九字秘。		
100003	疑现九字秘	Place_DanXia|Place_KunLun|Place_TianJi|Place_JiuHua|Place_LongHu|Place_Shu|Place_WuLian|Place_BaiMan|Place_XianKong|Place_Hei|Place_HeHuan|Place_SouthForest|Place_FertileField|Place_CentralPlains|Place_Hei4|Place_HeHuan1|Place_FertileField1|Place_FertileField2|Place_FertileField3|Place_FertileField4|Place_FertileField5|Place_CentralPlains1|Place_CentralPlains2|Place_CentralPlains3|Place_CentralPlains4|Place_CentralPlains5|Place_BirthPlace11|Place_BirthPlace12|Place_BirthPlace13|Place_BirthPlace14|Place_Desert|Place_Desert2|Place_Desert4|Place_Snowfield|Place_Snowfield3	3	ZT_JZM_ZHEN	1	99	3	41	听说九字真言在[TXT]出现了踪迹，临兵斗者，皆阵列前行。不知是哪一本秘籍的出现。	一名神秘修行者气运所钟，最终得到了出现的九字秘。		
100004	疑现九字秘	Place_DanXia|Place_KunLun|Place_TianJi|Place_JiuHua|Place_LongHu|Place_Shu|Place_WuLian|Place_BaiMan|Place_XianKong|Place_Hei|Place_HeHuan|Place_SouthForest|Place_FertileField|Place_CentralPlains|Place_Hei4|Place_HeHuan1|Place_FertileField1|Place_FertileField2|Place_FertileField3|Place_FertileField4|Place_FertileField5|Place_CentralPlains1|Place_CentralPlains2|Place_CentralPlains3|Place_CentralPlains4|Place_CentralPlains5|Place_BirthPlace11|Place_BirthPlace12|Place_BirthPlace13|Place_BirthPlace14|Place_Desert|Place_Desert2|Place_Desert4|Place_Snowfield|Place_Snowfield3	3	ZT_JZM_Q	1	134	3	47	听说九字真言在[TXT]出现了踪迹，临兵斗者，皆阵列前行。不知是哪一本秘籍的出现。	一名神秘修行者气运所钟，最终得到了出现的九字秘。		
100005	疑现九字秘	Place_DanXia|Place_KunLun|Place_TianJi|Place_JiuHua|Place_LongHu|Place_Shu|Place_WuLian|Place_BaiMan|Place_XianKong|Place_Hei|Place_HeHuan|Place_SouthForest|Place_FertileField|Place_CentralPlains|Place_Hei4|Place_HeHuan1|Place_FertileField1|Place_FertileField2|Place_FertileField3|Place_FertileField4|Place_FertileField5|Place_CentralPlains1|Place_CentralPlains2|Place_CentralPlains3|Place_CentralPlains4|Place_CentralPlains5|Place_BirthPlace11|Place_BirthPlace12|Place_BirthPlace13|Place_BirthPlace14|Place_Desert|Place_Desert2|Place_Desert4|Place_Snowfield|Place_Snowfield3	3	ZT_JZM_S	1	222	3	44	听说九字真言在[TXT]出现了踪迹，临兵斗者，皆阵列前行。不知是哪一本秘籍的出现。	一名神秘修行者气运所钟，最终得到了出现的九字秘。		
100006	疑现阵法秘籍	Place_DanXia|Place_KunLun|Place_TianJi|Place_JiuHua|Place_LongHu|Place_Shu|Place_WuLian|Place_BaiMan|Place_XianKong|Place_Hei|Place_HeHuan|Place_SouthForest|Place_FertileField|Place_CentralPlains|Place_Hei4|Place_HeHuan1|Place_FertileField1|Place_FertileField2|Place_FertileField3|Place_FertileField4|Place_FertileField5|Place_CentralPlains1|Place_CentralPlains2|Place_CentralPlains3|Place_CentralPlains4|Place_CentralPlains5|Place_BirthPlace11|Place_BirthPlace12|Place_BirthPlace13|Place_BirthPlace14|Place_Desert|Place_Desert2|Place_Desert4|Place_Snowfield|Place_Snowfield4	2	ZT_MJ_YMSC	1	88	2	60	听说一本秘籍现世了，不得不去看看	一名神秘修行者气运所钟，最终得到了秘籍		
100007	疑现丹方秘籍	Place_DanXia|Place_KunLun|Place_TianJi|Place_JiuHua|Place_LongHu|Place_Shu|Place_WuLian|Place_BaiMan|Place_XianKong|Place_Hei|Place_HeHuan|Place_SouthForest|Place_FertileField|Place_CentralPlains|Place_Hei4|Place_HeHuan1|Place_FertileField1|Place_FertileField2|Place_FertileField3|Place_FertileField4|Place_FertileField5|Place_CentralPlains1|Place_CentralPlains2|Place_CentralPlains3|Place_CentralPlains4|Place_CentralPlains5|Place_BirthPlace11|Place_BirthPlace12|Place_BirthPlace13|Place_BirthPlace14|Place_Desert|Place_Desert2|Place_Desert4|Place_Snowfield|Place_Snowfield5	2	ZT_MJ_ZH	1	64	3	61	听说一本秘籍现世了，不得不去看看	一名神秘修行者气运所钟，最终得到了秘籍		
100008	疑现九字秘	Place_DanXia|Place_KunLun|Place_TianJi|Place_JiuHua|Place_LongHu|Place_Shu|Place_WuLian|Place_BaiMan|Place_XianKong|Place_Hei|Place_HeHuan|Place_SouthForest|Place_FertileField|Place_CentralPlains|Place_Hei4|Place_HeHuan1|Place_FertileField1|Place_FertileField2|Place_FertileField3|Place_FertileField4|Place_FertileField5|Place_CentralPlains1|Place_CentralPlains2|Place_CentralPlains3|Place_CentralPlains4|Place_CentralPlains5|Place_BirthPlace11|Place_BirthPlace12|Place_BirthPlace13|Place_BirthPlace14|Place_Desert|Place_Desert2|Place_Desert4|Place_Snowfield|Place_Snowfield6	3	ZT_JZM_B	1	150	3	62	听说一本秘籍现世了，不得不去看看	一名神秘修行者气运所钟，最终得到了秘籍		
100009	青铜仙殿	Place_QTXD		ZT_QTXD			4	129	听说[TXT]再现而来，上次出现便是血流成河，这一次不知道有多少人要有去无回。			
100010	化龙池一役	Place_SC	3	HLCYY	1	304	5	150	听说[TXT]迎来了最后的绝代神王，不过神王体虚，赶紧去看看吧。			
100011	打破诅咒	Place_SC	3	DPZZ	1	300	3	150	听说[TXT]的化龙池，圣体准备打破诅咒，这对于不少与圣体有怨的势力都有些不安。	结束了，感谢你体验遮天世界至今，作者去考研了，等回来会继续更新的。		
100012	张家村	Place_ZJC		ZT_ZJC	1	236	3	90	张家村附近似乎有什么好出去，哥几个感觉去瞧瞧。			
100013	圣城	Place_YC	2	ZT_SC	1	281	3	100	北域的中心建筑，是北域居民的神圣之地（只出现两次）			
100014	西皇经	Place_YC		ZT_G_XHJ	1	174	3	60	听说[TXT]白日星坠，西皇母的传承，可以免费切、	一名神秘修行者获得了前辈仙人的道统。		
100015	瑶池	Place_TCGK	2	ZT_YCSD	1	171	2	100	叶凡在张家村喜提一只大黑狗，在黑皇的带领下寻得西皇经，来到了瑶池圣地。（只出现两次）			
100016	太初古矿	Place_TCGK		ZT_TCGK	1	165	2	21	[TXT]生命七大禁区之首，现今又到了禁区一探究竟的时间了，现在这个时间是一切的诡异最弱的时刻	时机已过，没来得及离开太初古矿的人，纷纷陨落，像是古矿和修行者开的一个玩笑。		
100017	太初古矿	Place_TCGK	2	ZT_TCGKD	1	161	3	100	叶凡在从紫山出来后，为了突破而四处劫掠流寇收获了不少的源，也因此尝到甜头，企图到太初古矿寻找机缘。（只出现两次次）			
100018	张家村	Place_HY	2	ZT_ZJCD	1	152	3	100	北域张家村，源天师的遗孤（只出现一次）			
100019	逃亡火域	Place_TXM	2	ZT_HYD	1	106	3	2	火域内有九层火焰，每层火焰都有不同的温度。（只出现两次）			
100020	疑现九字秘	Place_HGJD_1	3	ZT_JZM_X	1	105	3	45	听说九字真言在[TXT]出现了踪迹，临兵斗者，皆阵列前行。不知是哪一本秘籍的出现。	一名神秘修行者气运所钟，最终得到了出现的九字秘。		
100021	疑现九字秘	Place_TXM	1	ZT_JZM_J	1	104	2	69	听说九字真言在[TXT]出现了踪迹，临兵斗者，皆阵列前行。不知是哪一本秘籍的出现。（该秘闻只出现一次。）	一名神秘修行者气运所钟，最终得到了出现的九字秘。		
100022	万龙巢	Place_WLC		WLC	1	310	10	600	万龙巢，曾是太古前一古族的领地。			
100023	寻觅药方	Place_SC	2	ZT_WLC	1	276	3	5	冰雪宫，叶凡突破四极后第一个去的地方。为了寻得突破道伤的办法，也是本系列暂时获得所有灵植的地方			
100024	洗劫各洲	Place_SC	5	XJGZ	1	265	3	12	叶凡为了想办法突破四极，洗劫各大州的流寇。			
100025	大帝陵寝	Place_DDLQ		DDLQ	1	229	2	100	阴风呼啸，地表上各种参天古木连根拔地而起，崩碎在天空中，木屑与乱叶凌乱飞舞。这是一股强大的杀念，它席卷一切，树木、古藤拔地而上，冲向空中，纵然是数十米长的大石，也都在第一时间崩碎。没有什么可以阻挡这些阴兵阴马，矛锋所向，但凡有形之质，都会被毁灭。“地层深处有瑰宝，有惊世神藏!”			
100026	丽城九秘风云起	Place_SC	2	ZT_LCJM	1	221	2	2	丽城，街道两旁栽满了神蓝树，枝桠繁茂，叶片呈天蓝，很梦幻的色彩，连村干都如蓝水晶一般闪亮。			
