ID	Kind	Name	WorldFlag	Weight	UnLockLevel	PopTip	Desc	ClassName	sParam1	fParam1	sParam2	fParam2
ID	类型 空：被动触发	名字	对WorldFlag的要求		解锁等级	事件发生时弹出默认提示 0不开 1开启 	介绍	类名	(天气:s天气类型)  (进攻:进攻富有等级) (妖兽:妖兽种族) (宝物:物品类型lable 权重:ID|ID.)  (角色:数据名字) (秘闻:随机秘闻ID|ID) (路人：行为描述)(动物进攻：种族)	（进攻:强度等级加成(默认等级+系数)）（ 妖兽:持续时间） （宝物:最小品阶 权重:值）(角色:0心情 1modifier) (拜师：数量)(路人：数量)(动物进攻：最少个数)	(路人：附加标记)	（宝物:最大品阶）  （进攻:持续时间秒） （权重:持续时间(天)） （角色：0玩家角色 1所有角色）(路人：类型 1普通2拜师3暂住 10内门强住)(动物进攻：最大个数)
3001	Secrets	荒主沉睡		9	4	1	荒主陷入了沉睡，似乎可以去荒古禁地里看看了。	EventSecret	100012			
3003		强力进攻				1	    太玄门派出一队精英弟子前来报复。	EventAttack	Rich	3		1200
3002		强力进攻				1	   太玄门派出门中高手前来报复。	EventAttack	Rich	6		1200
3001		强力进攻				1	    太玄门派出派中长老前来报复。	EventAttack	Rich	9		1200
3000		怒火				1	    你的行为惹怒了太玄门，他们即将采取措施。					
100011	Secrets	虚空经		9	4	0		EventSecret	971			
100012	Secrets	天帝经		9	4	0		EventSecret	972			
100013	Secrets	渡劫天功		9	4	0		EventSecret	973			
100014	Secrets	恒宇经		9	4	0		EventSecret	974			
100015	Secrets	太皇经		9	4	0		EventSecret	975			
100020	Secrets	西皇经		9	4	0		EventSecret	976			
100023	Secrets	无始经		9	4	0		EventSecret	977			
100001	Secrets	疑现九字秘		1	4	0		EventSecret	978			
100002	Secrets	疑现九字秘		1	4	0		EventSecret	979			
100003	Secrets	疑现九字秘		1	4	0		EventSecret	980			
100004	Secrets	疑现九字秘		1	4	0		EventSecret	981			
100005	Secrets	疑现九字秘		1	4	0		EventSecret	982			
100006	Secrets	疑现九字秘		1	4	0		EventSecret	983			
100007	Secrets	疑现阵法秘籍		1	4	0		EventSecret	984			
100008	Secrets	疑现丹方秘籍		1	4	0		EventSecret	985			
100009	Secrets	疑现九字秘		1	4	0		EventSecret	986			
100031	Secrets	青铜仙殿		12	4	0		EventSecret	987			
100040	Secrets	九龙拉棺		15	4	0		EventSecret	988			
